"","city","cold_rent","rooms","square_meter","title","url"
"1","Essen (Horst)","313,49 €","2 Zi.","57 m²","Bezugsfertige 2-Raum-Wohnung mit Balkon!","https://www.immowelt.de/expose/25yzj5r"
"2","Essen (Kupferdreh)","491,30 €","3.5 Zi.","49.13 m²","Sofort einziehen: Schnuckelige Dachgeschosswohnung!","https://www.immowelt.de/expose/25n5w5q"
"3","Essen (Steele)","455,69 €","2 Zi.","61.58 m²","Frisch modernisierte 2-Zimmer-Wohnung mit sonnigem Balkon!","https://www.immowelt.de/expose/25wua5q"
"4","Essen (Kray)","441,69 €","2 Zi.","47.29 m²","Gemütliche 2-Zimmer-DG-Whg. an der Schönscheidtstraße","https://www.immowelt.de/expose/256pa5q"
"5","Essen (Katernberg)","379 €","2 Zi.","45.48 m²","STOP! Erste eigene Wohnung? Gemütliche 2,5 Raum Wohnung mit kleinem Balkon sucht neuen Bewohner!","https://www.immowelt.de/expose/25z6p5p"
"6","Essen (Stoppenberg)","310 €","2 Zi.","61 m²","Helle 2-Zimmer-Wohnung mit Balkon","https://www.immowelt.de/expose/25hqp5m"
"7","Essen (Nordviertel)","588 €","3 Zi.","84 m²","Mein Zuhause im Eltingviertel: Wir modernisieren für Sie!","https://www.immowelt.de/expose/2592k5r"
"8","Essen (Leithe)","590 €","3 Zi.","67.45 m²","Nachmieter gesucht: Renovierte 3-Zi.-Whg. im grünen Isinger-Feld","https://www.immowelt.de/expose/25d6p5p"
"9","Essen (Katernberg)","375 €","2 Zi.","53.65 m²","Teilrenovierte 2-Zimmer Wohnung in Wohnanlage mit Balkon","https://www.immowelt.de/expose/2585k5r"
"10","Essen (Huttrop)","565 €","2 Zi.","56.53 m²","++ Erstbezug nach Sanierung: Helle 2-Zimmer-Wohnung in ruhiger aber zentraler Lage ++","https://www.immowelt.de/expose/25hhu58"
"11","Essen (Borbeck-Mitte)","359,32 €","2 Zi.","65.57 m²","Helle 2-Zimmer-Wohnung in bester Lage","https://www.immowelt.de/expose/243wc5j"
"12","Essen (Kray)","326 €","2.5 Zi.","50.1 m²","Hier schlägt besonders das Herz für Singles und Paare","https://www.immowelt.de/expose/25hsy5n"
"13","Essen (Frohnhausen)","590 €","2.5 Zi.","69 m²","Erstbezug nach Sanierung: Freundliche 2,5-Zimmer-Wohnung mit Balkon und in Essen","https://www.immowelt.de/expose/2wyxk4n"
"14","Essen (Altenessen-Süd)","650 €","3 Zi.","104 m²","Sehr großzügige, vollständig renovierte Maisonettewohnung","https://www.immowelt.de/expose/2rjud4g"
"15","Essen (Bedingrade)","450 €","2 Zi.","58 m²","Schöne Wohnung mit Blick in das Naturschutzgebiet Hexbachtal","https://www.immowelt.de/expose/25vsy5m"
"16","Essen (Katernberg)","800 €","3 Zi.","85 m²","3 1/2  Zimmer Wohnung in ruhiger Seitenstr. in gepflegtem und saniertem Objekt","https://www.immowelt.de/expose/2556r5m"
"17","Essen (Werden)","790 €","3.5 Zi.","79 m²","Renovierte Wohnung mit Balkon  im 2. OG","https://www.immowelt.de/expose/25k295m"
"18","Essen (Bredeney)","1.250 €","3.5 Zi.","120 m²","Großzügig geschnittenen Whg. in Top-Lage","https://www.immowelt.de/expose/2cgau4f"
"19","Essen (Altendorf)","430 €","2 Zi.","60 m²","Helle 2 R.-Whg. mit Einbauküche, im DG + neuw. Gasbrennwert-Zentralheizung + Dämmung + Gartenmitbentzung NKM 430,00","https://www.immowelt.de/expose/2xaw64v"
"20","Essen (Frohnhausen)","480 €","2.5 Zi.","74 m²","Helle Dachwohnung","https://www.immowelt.de/expose/2zhe64u"
"21","Essen (Heidhausen)","653,60 €","2 Zi.","76 m²","Schöne, renovierte 76qm-Wohnungen im Essener Süden (Essen Heidhausen) zu vermieten","https://www.immowelt.de/expose/2549756"
"22","Essen (Heidhausen)","576,20 €","2 Zi.","67 m²","Schöne, renovierte 67qm-Wohnungen im Essener Süden (Essen Heidhausen) zu vermieten","https://www.immowelt.de/expose/25jg956"
"23","Essen (Bergerhausen)","320 €","2 Zi.","46 m²","2-Zi.-Mietwohnung in Essen","https://www.immowelt.de/expose/25p9e53"
"24","Essen (Frintrop)","430 €","2 Zi.","50 m²","2-Zimmer Erdgeschoß-Wohnung in Frintrop!","https://www.immowelt.de/expose/25hqg5c"
"25","Essen (Karnap)","533,16 €","2.5 Zi.","67.66 m²","Wir haben für Sie modernisiert! Tolle 2,5 Raum Dachgeschoßwohnung mit Sonnenbalkon!","https://www.immowelt.de/expose/252cz5b"
